Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2024-07-24,25.9,30.5,23.7,3.4,14.0,0.0,84,19.6,0.6000000000000001
2024-07-25,27.2,31.9,23.1,5.5,6.0,0.0,87,11.7,0.0
2024-07-26,27.4,32.8,24.8,18.0,13.0,0.0,96,20.8,3.8
2024-07-27,27.0,30.0,25.2,39.4,20.0,0.0,91,15.5,0.4
2024-07-28,28.0,31.0,25.9,0.4,4.0,0.0,83,27.7,0.0
2024-07-29,26.6,28.3,25.3,2.1,11.0,0.0,90,28.9,0.0
2024-07-30,26.8,30.3,24.7,0.9,8.0,0.0,67,18.5,0.0
2024-07-31,27.4,31.3,24.7,0.7,7.0,0.0,58,15.8,0.0
2024-08-01,28.1,31.9,25.0,1.0,9.0,0.0,46,16.5,0.0
2024-08-02,27.4,30.1,25.3,11.1,9.0,0.0,62,18.1,0.0
2024-08-03,27.8,31.9,24.3,5.6,8.0,0.0,43,14.1,0.0
2024-08-04,28.9,33.4,24.1,0.0,0.0,0.0,6,7.2,0.0
2024-08-05,28.1,31.5,25.7,15.7,13.0,0.0,65,11.1,0.0
2024-08-06,27.7,31.0,24.9,3.2,9.0,0.0,62,10.1,0.0
2024-08-07,27.2,30.9,24.4,2.2,4.0,0.0,48,11.9,0.0
2024-08-08,26.4,29.4,23.2,6.5,9.0,0.0,85,11.2,0.0
2024-08-09,27.2,31.9,24.2,0.0,0.0,0.0,66,12.4,0.0
2024-08-10,27.8,32.1,24.2,0.0,0.0,0.0,75,9.2,0.0
2024-08-11,28.5,32.7,25.0,0.4,3.0,0.0,52,11.1,0.0
2024-08-12,29.0,32.3,25.9,0.4,3.0,0.0,24,6.8,0.0
2024-08-13,28.8,33.6,25.4,0.6,2.0,0.0,18,10.7,0.3
2024-08-14,28.4,32.7,25.3,0.1,1.0,0.0,21,11.7,0.0
2024-08-15,28.0,32.3,25.6,8.4,7.0,0.0,29,8.9,0.0
2024-08-16,28.2,31.8,24.9,0.1,1.0,0.0,14,7.7,0.0
2024-08-17,28.1,32.4,25.3,2.1,3.0,0.0,54,10.6,0.1
2024-08-18,27.1,32.3,24.2,21.2,10.0,0.0,63,11.5,3.8
2024-08-19,27.8,32.6,24.8,6.9,5.0,0.0,44,11.3,0.1
2024-08-20,28.8,34.0,25.6,10.1,8.0,0.0,67,11.9,1.4000000000000001
2024-08-21,26.4,28.7,25.3,71.5,24.0,0.0,100,28.3,11.3
2024-08-22,27.4,30.9,25.0,5.9,10.0,0.0,80,27.0,0.6000000000000001
2024-08-23,26.3,29.5,24.2,4.3,10.0,0.0,21,17.8,0.0
2024-08-24,25.8,29.5,22.5,0.8,3.0,0.0,47,11.1,0.0
2024-08-25,26.8,30.6,24.2,0.7,5.0,0.0,54,7.9,0.3
2024-08-26,26.4,29.3,23.4,0.8,3.0,0.0,97,9.3,0.0
2024-08-27,24.2,26.6,22.1,2.0,6.0,0.0,71,12.3,0.0
2024-08-28,26.1,31.4,20.9,0.0,0.0,0.0,1,18.3,0.0
2024-08-29,26.0,30.8,20.9,0.0,0.0,0.0,3,16.3,0.0
2024-08-30,26.0,31.2,21.2,0.0,0.0,0.0,2,13.0,0.0
2024-08-31,24.7,29.9,19.4,0.0,0.0,0.0,28,8.4,0.0
2024-09-01,24.5,28.3,20.8,0.0,0.0,0.0,57,13.5,0.0
2024-09-02,22.7,25.5,20.4,27.0,8.0,0.0,88,18.7,0.0
2024-09-03,24.2,29.3,20.5,0.0,0.0,0.0,29,14.3,0.0
2024-09-04,24.6,29.9,19.9,0.0,0.0,0.0,15,12.4,0.0
2024-09-05,24.8,27.5,22.6,2.0,5.0,0.0,73,25.1,0.0
2024-09-06,23.7,25.9,21.5,1.7,3.0,0.0,90,18.8,0.2
2024-09-07,24.3,29.1,21.1,1.7,5.0,0.0,46,11.0,0.0
2024-09-08,24.6,29.9,20.1,0.0,0.0,0.0,10,9.4,0.0
2024-09-09,26.4,31.2,22.3,0.0,0.0,0.0,17,8.8,0.0
2024-09-10,27.0,31.4,23.4,0.4,3.0,0.0,8,11.5,0.0
2024-09-11,26.9,32.7,22.7,8.3,6.0,0.0,24,17.8,2.2
2024-09-12,24.7,25.3,24.0,28.4,21.0,0.0,100,10.2,5.5
2024-09-13,24.9,27.6,23.4,17.2,24.0,0.0,97,11.4,2.6
2024-09-14,25.8,29.3,23.5,1.6,11.0,0.0,56,12.6,0.0
2024-09-15,25.3,29.8,22.2,0.6,5.0,0.0,26,21.3,0.0
2024-09-16,25.4,31.0,20.5,0.7,4.0,0.0,27,15.5,0.0
2024-09-17,27.2,30.8,24.7,5.6,5.0,0.0,48,11.7,0.0
